Toplam kelime sayısı: 4993
Benzersiz kelime sayısı: 1529

==================================================

SIRA | KELİME | TEKRAR SAYISI
 116 | mentre                         | 7
 117 | chi                            | 7
 118 | tutti                          | 7
 119 | vent'anni                      | 7
 120 | diversi                        | 7
 121 | tornerai                       | 7
 122 | sentire                        | 7
 123 | tra                            | 6
 124 | chiesto                        | 6
 125 | anch'io                        | 6
 126 | verso                          | 6
 127 | vita                           | 6
 128 | cuore                          | 6
 129 | senza                          | 6
 130 | lui                            | 6
 131 | promesso                       | 6
 132 | sera                           | 6
 133 | pensavo                        | 6
 134 | notte                          | 6
 135 | il cuore                       | 6
 136 | vicino                         | 6
 137 | stata                          | 6
 138 | fatto                          | 6
 139 | amore                          | 6
 140 | così                           | 6
 141 | tanto                          | 6
 142 | tutte                          | 6
 143 | volte                          | 6
 144 | mio                            | 6
 145 | diceva                         | 6
 146 | parlato                        | 6
 147 | persone                        | 6
 148 | via                            | 6
 149 | l'aria                         | 6
 150 | continuerò                     | 6
 151 | sotto                          | 5
 152 | lo stesso                      | 5
 153 | volta                          | 5
 154 | sentivo                        | 5
 155 | gli ho                         | 5
 156 | migliore                       | 5
 157 | amico                          | 5
 158 | qualcosa                       | 5
 159 | la nostra                      | 5
 160 | la verità                      | 5
 161 | marco                          | 5
 162 | c'è                            | 5
 163 | so                             | 5
 164 | viso                           | 5
 165 | padre                          | 5
 166 | molto                          | 5
 167 | il giorno                      | 5
 168 | il nostro                      | 5
 169 | vero                           | 5
 170 | c'ho                           | 5
 171 | soltanto                       | 5
 172 | son                            | 5
 173 | sarai                          | 5
 174 | oppure                         | 5
 175 | avanti                         | 5
 176 | adesso                         | 5
 177 | la gente                       | 5
 178 | la prima                       | 4
 179 | giorno                         | 4
 180 | all'università                 | 4
 181 | visto                          | 4
 182 | scusa                          | 4
 183 | anno                           | 4
 184 | cambiato                       | 4
 185 | dopo                           | 4
 186 | vuole                          | 4
 187 | piano                          | 4
 188 | una sera                       | 4
 189 | gioia                          | 4
 190 | perso                          | 4
 191 | deciso                         | 4
 192 | conosciuto                     | 4
 193 | felice                         | 4
 194 | diversa                        | 4
 195 | male                           | 4
 196 | volevo                         | 4
 197 | portato                        | 4
 198 | respiro                        | 4
 199 | difficile                      | 4
 200 | le lacrime                     | 4
 201 | il cielo                       | 4
 202 | le nostre                      | 4
 203 | tempo                          | 4
 204 | già                            | 4
 205 | mamma                          | 4
 206 | bella                          | 4
 207 | due                            | 4
 208 | lasciare                       | 4
 209 | erano                          | 4
 210 | può                            | 4
 211 | vedo                           | 4
 212 | prendere                       | 4
 213 | bello                          | 4
 214 | il mondo                       | 4
 215 | tua                            | 4
 216 | primo                          | 4
 217 | piccolo                        | 4
 218 | siete                          | 4
 219 | pronto                         | 4
 220 | lottare                        | 4
 221 | la colpa                       | 4
 222 | un passo                       | 4
 223 | sa                             | 4
 224 | portami                        | 4
 225 | sparire                        | 4
 226 | il mare                        | 4
 227 | terra                          | 4
 228 | una luce                       | 4
 229 | squarcia                       | 4
 230 | il suolo                       | 4
 231 | cielo                          | 3
 232 | il primo                       | 3
 233 | stavo                          | 3
 234 | l'aula                         | 3
 235 | letteratura                    | 3
 236 | l'ho                           | 3
 237 | un sorriso                     | 3
 238 | ridendo                        | 3
 239 | stati                          | 3
 240 | difficili                      | 3
 241 | nuovo                          | 3
 242 | spesso                         | 3
 243 | sola                           | 3
 244 | c'era                          | 3
 245 | occhi                          | 3
 246 | seduti                         | 3
 247 | sembrava                       | 3
 248 | grazie                         | 3
 249 | sorriso                        | 3
 250 | triste                         | 3
 251 | avuto                          | 3
 252 | innamorata                     | 3
 253 | ragione                        | 3
 254 | arrivato                       | 3
 255 | freddo                         | 3
 256 | grande                         | 3
 257 | la distanza                    | 3
 258 | rispondevo                     | 3
 259 | subito                         | 3
 260 | bene                           | 3
 261 | stanca                         | 3
 262 | troppo                         | 3
 263 | amica                          | 3
 264 | parlare                        | 3
 265 | capisco                        | 3
 266 | sussurrato                     | 3
 267 | la ragione                     | 3
 268 | posso                          | 3
 269 | sia                            | 3
 270 | sul mio                        | 3
 271 | vuoi                           | 3
 272 | dovevo                         | 3
 273 | all'inizio                     | 3
 274 | lo so                          | 3
 275 | davvero                        | 3
 276 | bacio                          | 3
 277 | momento                        | 3
 278 | sentito                        | 3
 279 | pieno                          | 3
 280 | felici                         | 3
 281 | le persone                     | 3
 282 | la famiglia                    | 3
 283 | cena                           | 3
 284 | seguenti                       | 3
 285 | abbia                          | 3
 286 | ciò                            | 3
 287 | pianto                         | 3
 288 | camminavamo                    | 3
 289 | un appartamento                | 3
 290 | al mio                         | 3
 291 | della mia                      | 3
 292 | momenti                        | 3
 293 | letto                          | 3
 294 | scritto                        | 3
 295 | piena                          | 3
 296 | questa                         | 3
 297 | vivere                         | 3
 298 | scriveva                       | 3
 299 | le parole                      | 3
 300 | la tua                         | 3
 301 | sarà                           | 3
 302 | ad                             | 3
 303 | prendo                         | 3
 304 | crescere                       | 3
 305 | chiedo                         | 3
 306 | la strada                      | 3
 307 | domani                         | 3
 308 | vi                             | 3
 309 | sopra                          | 3
 310 | purtroppo                      | 3
 311 | galla                          | 3
 312 | manca                          | 3
 313 | piange                         | 3
 314 | partire                        | 3
 315 | l'ansia                        | 3
 316 | un'ascia                       | 3
 317 | il fuoco                       | 3
 318 | ed                             | 3
 319 | città                          | 3
 320 | giù                            | 3
 321 | col                            | 3
 322 | brinderò                       | 3
 323 | le mani                        | 3
 324 | giunte                         | 3
 325 | batte                          | 3
 326 | aspettare                      | 3
 327 | d'amore                        | 2
 328 | settembre                      | 2
 329 | brillava                       | 2
 330 | nervosa                        | 2
 331 | cercando                       | 2
 332 | italiana                       | 2
 333 | al primo                       | 2
 334 | camminato                      | 2
 335 | sapevo                         | 2
 336 | il caffè                       | 2
 337 | devi                           | 2
 338 | il tuo                         | 2
 339 | diventato                      | 2
 340 | novembre                       | 2
 341 | intima                         | 2
 342 | devo                           | 2
 343 | una cosa                       | 2
 344 | importante                     | 2
 345 | puoi                           | 2
 346 | gay                            | 2
 347 | nei suoi                       | 2
 348 | sta                            | 2
 349 | pensato                        | 2
 350 | fidanzati                      | 2
 351 | speciale                       | 2
 352 | sara                           | 2
 353 | amicizia                       | 2
 354 | dormito                        | 2
 355 | gennaio                        | 2
 356 | i miei                         | 2
 357 | bisessuale                     | 2
 358 | perdere                        | 2
 359 | silenzio                       | 2
 360 | febbraio                       | 2
 361 | uscire                         | 2
 362 | un ragazzo                     | 2
 363 | studiare                       | 2
 364 | messaggi                       | 2
 365 | gli esami                      | 2
 366 | stare                          | 2
 367 | faceva                         | 2
 368 | terribile                      | 2
 369 | ferito                         | 2
 370 | urlare                         | 2
 371 | troppa                         | 2
 372 | aprile                         | 2
 373 | al parco                       | 2
 374 | mani                           | 2
 375 | etero                          | 2
 376 | diventa                        | 2
 377 | dispiace                       | 2
 378 | strana                         | 2
 379 | importa                        | 2
 380 | preso                          | 2
 381 | nella mano                     | 2
 382 | sognato                        | 2
 383 | il suo                         | 2
 384 | dolcemente                     | 2
 385 | entrambi                       | 2
 386 | stavamo                        | 2
 387 | piangendo                      | 2
 388 | un sogno                       | 2
 389 | alcuni                         | 2
 390 | corso                          | 2
 391 | nuove                          | 2
 392 | famiglia                       | 2
 393 | genitori                       | 2
 394 | confusa                        | 2
 395 | signore                        | 2
 396 | al mondo                       | 2
 397 | ferma                          | 2
 398 | la mano                        | 2
 399 | abituarsi                      | 2
 400 | silenzioso                     | 2
 401 | andate                         | 2
 402 | vista                          | 2
 403 | conta                          | 2
 404 | l'estate                       | 2
 405 | libri                          | 2
 406 | l'anima                        | 2
 407 | insegnato                      | 2
 408 | significa                      | 2
 409 | amare                          | 2
 410 | voleva                         | 2
 411 | gatti                          | 2
 412 | roma                           | 2
 413 | un mese                        | 2
 414 | diventata                      | 2
 415 | dormire                        | 2
 416 | appartamento                   | 2
 417 | fiducia                        | 2
 418 | i sogni                        | 2
 419 | dell'altro                     | 2
 420 | agosto                         | 2
 421 | scrivendo                      | 2
 422 | diventati                      | 2
 423 | c'erano                        | 2
 424 | la gelosia                     | 2
 425 | alessio                        | 2
 426 | molte                          | 2
 427 | comune                         | 2
 428 | carino                         | 2
 429 | il secondo                     | 2
 430 | un piccolo                     | 2
 431 | una nuova                      | 2
 432 | giro                           | 2
 433 | mattina                        | 2
 434 | scoperto                       | 2
 435 | strada                         | 2
 436 | un gruppo                      | 2
 437 | stanco                         | 2
 438 | forti                          | 2
 439 | reale                          | 2
 440 | la forza                       | 2
 441 | dell'amore                     | 2
 442 | nei giorni                     | 2
 443 | fosse                          | 2
 444 | vedere                         | 2
 445 | allargata                      | 2
 446 | famiglie                       | 2
 447 | trovato                        | 2
 448 | la madre                       | 2
 449 | avevamo                        | 2
 450 | natale                         | 2
 451 | magico                         | 2
 452 | guarda                         | 2
 453 | tirato                         | 2
 454 | aperto                         | 2
 455 | vedi                           | 2
 456 | anni                           | 2
 457 | spero                          | 2
 458 | aver                           | 2
 459 | pubblicato                     | 2
 460 | romanzo                        | 2
 461 | volevamo                       | 2
 462 | fare                           | 2
 463 | online                         | 2
 464 | qualcuno                       | 2
 465 | lgbtq+                         | 2
 466 | soli                           | 2
 467 | voi                            | 2
 468 | sfide                          | 2
 469 | un anno                        | 2
 470 | quelli                         | 2
 471 | il matrimonio                  | 2
 472 | credere                        | 2
 473 | negli occhi                    | 2
 474 | fianco                         | 2
 475 | prometto                       | 2
 476 | amarti                         | 2
 477 | sposati                        | 2
 478 | parlo                          | 2
 479 | la vita                        | 2
 480 | nome                           | 2
 481 | scegli                         | 2
 482 | andrai                         | 2
 483 | darai                          | 2
 484 | agli altri                     | 2
 485 | correrai                       | 2
 486 | diretto                        | 2
 487 | al sole                        | 2
 488 | il buio                        | 2
 489 | cercare                        | 2
 490 | la libertà                     | 2
 491 | spiegare                       | 2
 492 | cos'è                          | 2
 493 | il colore                      | 2
 494 | vede                           | 2
 495 | bianco                         | 2
 496 | nero                           | 2
 497 | prometti                       | 2
 498 | parlerai                       | 2
 499 | dovrò                          | 2
 500 | correre                        | 2
 501 | c'hai                          | 2
 502 | il dubbio                      | 2
 503 | nessuno                        | 2
 504 | ora                            | 2
 505 | conviene                       | 2
 506 | tipo                           | 2
 507 | chiuso                         | 2
 508 | alto                           | 2
 509 | pagine                         | 2
 510 | sale                           | 2
 511 | dio                            | 2
 512 | vento                          | 2
 513 | senti                          | 2
 514 | la testa                       | 2
 515 | capelli                        | 2
 516 | rosse                          | 2
 517 | quei                           | 2
 518 | però                           | 2
 519 | sente                          | 2
 520 | neanche                        | 2
 521 | porta                          | 2
 522 | dell'acqua                     | 2
 523 | parola                         | 2
 524 | un taglio                      | 2
 525 | sulla schiena                  | 2
 526 | una zattera                    | 2
 527 | naviga                         | 2
 528 | un fiume                       | 2
 529 | il fiume                       | 2
 530 | la luce                        | 2
 531 | cambio                         | 2
 532 | un po'                         | 2
 533 | potrà                          | 2
 534 | colpirti                       | 2
 535 | mille                          | 2
 536 | perdo                          | 2
 537 | prendimi                       | 2
 538 | mordimi                        | 2
 539 | toglimi                        | 2
 540 | distrutto                      | 2
 541 | sputami                        | 2
 542 | strappami                      | 2
 543 | i vestititi                    | 2
 544 | dosso                          | 2
 545 | comprami                       | 2
 546 | vendimi                        | 2
 547 | fammi                          | 2
 548 | respirerai                     | 2
 549 | nasconderò                     | 2
 550 | frasi                          | 2
 551 | sentirai                       | 2
 552 | ieri                           | 2
 553 | lasciami                       | 2
 554 | il tempo                       | 2
 555 | le gambe                       | 2
 556 | aria                           | 2
 557 | pulita                         | 2
 558 | alimenta                       | 2
 559 | lascio                         | 2
 560 | uccida                         | 2
 561 | rinasco                        | 2
 562 | dalla mia                      | 2
 563 | cenere                         | 2
 564 | indietro                       | 2
 565 | uno sguardo                    | 2
 566 | nasco                          | 2
 567 | una voce                       | 2
 568 | tagliente                      | 2
 569 | un respiro                     | 2
 570 | costante                       | 2
 571 | rimasto                        | 2
 572 | un foglio                      | 2
 573 | mezza                          | 2
 574 | sigaretta                      | 2
 575 | oggi                           | 2
 576 | #                              | 1
 577 | *una                           | 1
 578 | amici*                         | 1
 579 | l'incontro                     | 1
 580 | incontrato                     | 1
 581 | cerchi                         | 1
 582 | gentile                        | 1
 583 | completamente                  | 1
 584 | persa                          | 1
 585 | piacere                        | 1
 586 | conoscerti                     | 1
 587 | quel                           | 1
 588 | persona                        | 1
 589 | avrebbe                        | 1
 590 | l'amicizia                     | 1
 591 | i primi                        | 1
 592 | mesi                           | 1
 593 | studiavamo                     | 1
 594 | biblioteca                     | 1
 595 | prendevamo                     | 1
 596 | le lezioni                     | 1
 597 | parlavamo                      | 1
 598 | studi                          | 1
 599 | economia                       | 1
 600 | confessato                     | 1
 601 | la letteratura                 | 1
 602 | seguire                        | 1
 603 | guardava                       | 1
 604 | quegli                         | 1
 605 | scuri                          | 1
 606 | profondi                       | 1
 607 | capisci                        | 1
 608 | potevo                         | 1
 609 | immaginare                     | 1
 610 | il segreto                     | 1
 611 | al nostro                      | 1
 612 | bar                            | 1
 613 | preferito                      | 1
 614 | pioveva                        | 1
 615 | l'atmosfera                    | 1
 616 | dirti                          | 1
 617 | nervoso                        | 1
 618 | dirmi                          | 1
 619 | toccando                       | 1
 620 | interessato                    | 1
 621 | alle ragazze                   | 1
 622 | battuto                        | 1
 623 | shock                          | 1
 624 | capivo                         | 1
 625 | avermelo                       | 1
 626 | cambia                         | 1
 627 | nulla                          | 1
 628 | tristezza                      | 1
 629 | perderti                       | 1
 630 | perderai                       | 1
 631 | la confusione                  | 1
 632 | guardavo                       | 1
 633 | modo                           | 1
 634 | rideva                         | 1
 635 | riempiva                       | 1
 636 | *cosa                          | 1
 637 | succedendo                     | 1
 638 | *                              | 1
 639 | eterosessuale                  | 1
 640 | compagna                       | 1
 641 | stanza                         | 1
 642 | automaticamente                | 1
 643 | conosco                        | 1
 644 | il modo                        | 1
 645 | lo guardi                      | 1
 646 | del mio                        | 1
 647 | grigio                         | 1
 648 | pensieri                       | 1
 649 | rovinare                       | 1
 650 | abbastanza                     | 1
 651 | provasse                       | 1
 652 | etichette                      | 1
 653 | gli avessi                     | 1
 654 | avesse                         | 1
 655 | provato                        | 1
 656 | avrei                          | 1
 657 | rimanere                       | 1
 658 | una festa                      | 1
 659 | parlava                        | 1
 660 | spezzarsi                      | 1
 661 | mentivo                        | 1
 662 | evitare                        | 1
 663 | inventavo                      | 1
 664 | scuse                          | 1
 665 | ai suoi                        | 1
 666 | va                             | 1
 667 | un'altra                       | 1
 668 | bugia                          | 1
 669 | la crisi                       | 1
 670 | marzo                          | 1
 671 | rotto                          | 1
 672 | devastato                      | 1
 673 | una cattiva                    | 1
 674 | tornati                        | 1
 675 | successo                       | 1
 676 | perdendo                       | 1
 677 | fisicamente                    | 1
 678 | dirgli                         | 1
 679 | lo amavo                       | 1
 680 | i fiori                        | 1
 681 | nell'inverno                   | 1
 682 | un pomeriggio                  | 1
 683 | chiamata                       | 1
 684 | dobbiamo                       | 1
 685 | vieni                          | 1
 686 | sulla nostra                   | 1
 687 | panchina                       | 1
 688 | preferita                      | 1
 689 | al laghetto                    | 1
 690 | onesto                         | 1
 691 | tremavano                      | 1
 692 | funzionato                     | 1
 693 | qualcun                        | 1
 694 | altro                          | 1
 695 | fermato                        | 1
 696 | innamorato                     | 1
 697 | nasconderlo                    | 1
 698 | starti                         | 1
 699 | fingere                        | 1
 700 | scese                          | 1
 701 | dire                           | 1
 702 | allontanarti                   | 1
 703 | dirtelo                        | 1
 704 | il coraggio                    | 1
 705 | guardami                       | 1
 706 | attraverso                     | 1
 707 | ascoltami                      | 1
 708 | distante                       | 1
 709 | guardata                       | 1
 710 | incredulità                    | 1
 711 | lo capivo                      | 1
 712 | confondevo                     | 1
 713 | il genere                      | 1
 714 | fluido                         | 1
 715 | le risposte                    | 1
 716 | rimasti                        | 1
 717 | stava                          | 1
 718 | tramontando                    | 1
 719 | dipingendo                     | 1
 720 | rosa                           | 1
 721 | arancione                      | 1
 722 | tante                          | 1
 723 | lentamente                     | 1
 724 | avvicinato                     | 1
 725 | labbra                         | 1
 726 | toccate                        | 1
 727 | dolce                          | 1
 728 | tenero                         | 1
 729 | separati                       | 1
 730 | allo stesso                    | 1
 731 | le sfide                       | 1
 732 | i giorni                       | 1
 733 | successivi                     | 1
 734 | innamorati                     | 1
 735 | completi                       | 1
 736 | presto                         | 1
 737 | arrivate                       | 1
 738 | le prime                       | 1
 739 | difficoltà                     | 1
 740 | capivano                       | 1
 741 | fossi                          | 1
 742 | una compagna                   | 1
 743 | lo pensavo                     | 1
 744 | possono                        | 1
 745 | scoprire                       | 1
 746 | stesse                         | 1
 747 | conoscenza                     | 1
 748 | della sua                      | 1
 749 | sessualità                     | 1
 750 | dirglielo                      | 1
 751 | maggio                         | 1
 752 | dai miei                       | 1
 753 | terrorizzata                   | 1
 754 | papà                           | 1
 755 | fidanzato                      | 1
 756 | il silenzio                    | 1
 757 | pesante                        | 1
 758 | serio                          | 1
 759 | stefano                        | 1
 760 | eravate                        | 1
 761 | inaspettato                    | 1
 762 | guardato                       | 1
 763 | ami                            | 1
 764 | figlia                         | 1
 765 | altra                          | 1
 766 | voce                           | 1
 767 | la cena                        | 1
 768 | avevano                        | 1
 769 | bisogno                        | 1
 770 | capire                         | 1
 771 | teneva                         | 1
 772 | andrà                          | 1
 773 | sussurrava                     | 1
 774 | devono                         | 1
 775 | l'accettazione                 | 1
 776 | le settimane                   | 1
 777 | state                          | 1
 778 | complicate                     | 1
 779 | chiamava                       | 1
 780 | domande                        | 1
 781 | venuta                         | 1
 782 | trovarmi                       | 1
 783 | un caffè                       | 1
 784 | delle aspettative              | 1
 785 | quanto                         | 1
 786 | rende                          | 1
 787 | allora                         | 1
 788 | lo accetto                     | 1
 789 | invita                         | 1
 790 | domenica                       | 1
 791 | conoscerlo                     | 1
 792 | meglio                         | 1
 793 | arrivata                       | 1
 794 | calda                          | 1
 795 | luminosa                       | 1
 796 | passato                        | 1
 797 | libero                         | 1
 798 | andavamo                       | 1
 799 | al lago                        | 1
 800 | leggevamo                      | 1
 801 | all'ombra                      | 1
 802 | la persona                     | 1
 803 | l'aspetto                      | 1
 804 | veramente                      | 1
 805 | dei nostri                     | 1
 806 | sogni                          | 1
 807 | diventare                      | 1
 808 | scrittore                      | 1
 809 | insegnare                      | 1
 810 | vivremo                        | 1
 811 | avremo                         | 1
 812 | un gatto                       | 1
 813 | aggiungevo                     | 1
 814 | correggeva                     | 1
 815 | crisi                          | 1
 816 | luglio                         | 1
 817 | vera                           | 1
 818 | litigata                       | 1
 819 | uno stage                      | 1
 820 | estivo                         | 1
 821 | scrittura                      | 1
 822 | restasse                       | 1
 823 | lungo                          | 1
 824 | dimentichi                     | 1
 825 | ridicola                       | 1
 826 | potrei                         | 1
 827 | dimenticarmi                   | 1
 828 | la discussione                 | 1
 829 | accesa                         | 1
 830 | andati                         | 1
 831 | parlarci                       | 1
 832 | il perdono                     | 1
 833 | venuto                         | 1
 834 | dei fiori                      | 1
 835 | egoista                        | 1
 836 | considerare                    | 1
 837 | i tuoi                         | 1
 838 | sentimenti                     | 1
 839 | scuso                          | 1
 840 | reagito                        | 1
 841 | una grande                     | 1
 842 | opportunità                    | 1
 843 | dovresti                       | 1
 844 | verrò                          | 1
 845 | trovarti                       | 1
 846 | weekend                        | 1
 847 | chiamerò                       | 1
 848 | abbracciati                    | 1
 849 | sostenere                      | 1
 850 | mancavamo                      | 1
 851 | tantissimo                     | 1
 852 | le videochiamate               | 1
 853 | la parte                       | 1
 854 | giornata                       | 1
 855 | raccontava                     | 1
 856 | dello stage                    | 1
 857 | delle persone                  | 1
 858 | conosceva                      | 1
 859 | delle cose                     | 1
 860 | imparava                       | 1
 861 | una storia                     | 1
 862 | amanti                         | 1
 863 | sorprenderti                   | 1
 864 | sciolto                        | 1
 865 | l'ora                          | 1
 866 | leggerla                       | 1
 867 | separasse                      | 1
 868 | un altro                       | 1
 869 | partecipante                   | 1
 870 | allo stage                     | 1
 871 | simpatico                      | 1
 872 | una fitta                      | 1
 873 | gelosia                        | 1
 874 | iniziare                       | 1
 875 | una domanda                    | 1
 876 | ne                             | 1
 877 | andava                         | 1
 878 | menzionava                     | 1
 879 | stomaco                        | 1
 880 | stringeva                      | 1
 881 | lavorare                       | 1
 882 | sulla mia                      | 1
 883 | insicurezza                    | 1
 884 | funziona                       | 1
 885 | il ritorno                     | 1
 886 | tornato                        | 1
 887 | alla fine                      | 1
 888 | corsa                          | 1
 889 | alla stazione                  | 1
 890 | scendere                       | 1
 891 | dal treno                      | 1
 892 | mancato                        | 1
 893 | sul suo                        | 1
 894 | petto                          | 1
 895 | ore                            | 1
 896 | la storia                      | 1
 897 | bellissima                     | 1
 898 | emozioni                       | 1
 899 | vere                           | 1
 900 | mese                           | 1
 901 | università                     | 1
 902 | una coppia                     | 1
 903 | bilocale                       | 1
 904 | l'abbiamo                      | 1
 905 | aggiunto                       | 1
 906 | sorridendo                     | 1
 907 | avventura                      | 1
 908 | imparato                       | 1
 909 | le abitudini                   | 1
 910 | lasciava                       | 1
 911 | i calzini                      | 1
 912 | dimenticavo                    | 1
 913 | chiudere                       | 1
 914 | il tubetto                     | 1
 915 | del dentifricio                | 1
 916 | svegliarmi                     | 1
 917 | accanto                        | 1
 918 | realtà                         | 1
 919 | le piccole                     | 1
 920 | piccole                        | 1
 921 | preparava                      | 1
 922 | la mattina                     | 1
 923 | gli stiravo                    | 1
 924 | le camicie                     | 1
 925 | odiavo                         | 1
 926 | stirare                        | 1
 927 | nelle risate                   | 1
 928 | condivise                      | 1
 929 | guardavamo                     | 1
 930 | film                           | 1
 931 | brutti                         | 1
 932 | nelle passeggiate              | 1
 933 | la pioggia                     | 1
 934 | nei messaggi                   | 1
 935 | dolci                          | 1
 936 | durante                        | 1
 937 | penso                          | 1
 938 | nelle discussioni              | 1
 939 | cucinare                       | 1
 940 | nei sabati                     | 1
 941 | pigri                          | 1
 942 | nelle mani                     | 1
 943 | intrecciate                    | 1
 944 | la sfida                       | 1
 945 | pubblica                       | 1
 946 | ottobre                        | 1
 947 | sfida                          | 1
 948 | al duomo                       | 1
 949 | ragazzi                        | 1
 950 | gridato                        | 1
 951 | insulti                        | 1
 952 | froci                          | 1
 953 | irrigidito                     | 1
 954 | stringere                      | 1
 955 | ignoriamoli                    | 1
 956 | ignoranti                      | 1
 957 | feriscano                      | 1
 958 | dover                          | 1
 959 | giustificare                   | 1
 960 | amiamo                         | 1
 961 | abbracciato                    | 1
 962 | cambi                          | 1
 963 | raccontato                     | 1
 964 | le volte                       | 1
 965 | discriminazioni                | 1
 966 | coming                         | 1
 967 | out                            | 1
 968 | al liceo                       | 1
 969 | abbandonato                    | 1
 970 | sbagliato                      | 1
 971 | il problema                    | 1
 972 | orgogliosa                     | 1
 973 | nasconderci                    | 1
 974 | stessi                         | 1
 975 | ovunque                        | 1
 976 | deve                           | 1
 977 | forme                          | 1
 978 | organizzato                    | 1
 979 | una cena                       | 1
 980 | entrambe                       | 1
 981 | eccitata                       | 1
 982 | madri                          | 1
 983 | piaciute                       | 1
 984 | parlavano                      | 1
 985 | ricette                        | 1
 986 | bambini                        | 1
 987 | i nostri                       | 1
 988 | padri                          | 1
 989 | silenziosi                     | 1
 990 | un terreno                     | 1
 991 | nel calcio                     | 1
 992 | adorabile                      | 1
 993 | guardando                      | 1
 994 | costruito                      | 1
 995 | una relazione                  | 1
 996 | una vera                       | 1
 997 | il natale                      | 1
 998 | decorato                       | 1
 999 | luci                           | 1
1000 | un albero                      | 1
1001 | un regalo                      | 1
1002 | la vigilia                     | 1
1003 | un pacchetto                   | 1
1004 | una collana                    | 1
1005 | un ciondolo                    | 1
1006 | forma                          | 1
1007 | libro                          | 1
1008 | un libro                       | 1
1009 | la più                         | 1
1010 | regalo                         | 1
1011 | un quaderno                    | 1
1012 | pelle                          | 1
1013 | iniziali                       | 1
1014 | le storie                      | 1
1015 | scriverai                      | 1
1016 | pagina                         | 1
1017 | dedicata                       | 1
1018 | il nuovo                       | 1
1019 | speranze                       | 1
1020 | del futuro                     | 1
1021 | cinque                         | 1
1022 | esitare                        | 1
1023 | insegnando                     | 1
1024 | una scuola                     | 1
1025 | soprattutto                    | 1
1026 | viaggi                         | 1
1027 | parigi                         | 1
1028 | barcellona                     | 1
1029 | londra                         | 1
1030 | una casa                       | 1
1031 | un futuro                      | 1
1032 | pensi                          | 1
1033 | al matrimonio                  | 1
1034 | timidamente                    | 1
1035 | ammesso                        | 1
1036 | paure                          | 1
1037 | ricevere                       | 1
1038 | minacce                        | 1
1039 | anonime                        | 1
1040 | preoccupare                    | 1
1041 | vedevo                         | 1
1042 | insistito                      | 1
1043 | alla polizia                   | 1
1044 | la denuncia                    | 1
